"city","area","rooms","bathroom","parking","floor","animal","furniture","hoa","rent","property_tax"
"Sao Paulo",200,2,2,6,0,"yes","no",0,4500,292
"Sao Paulo",123,2,2,2,6,"yes","no",1800,2990,625
"Sao Paulo",127,3,2,2,0,"yes","yes",220,2150,67
"Belo Horizonte",180,4,2,2,0,"yes","no",0,1800,210
"Sao Paulo",110,3,2,0,0,"no","no",0,2900,384
"Rio de Janeiro",70,2,2,1,7,"yes","yes",585,1719,77
"Sao Paulo",35,1,1,1,8,"yes","yes",720,3000,130
"Sao Paulo",219,3,2,2,0,"yes","no",0,2900,150
"Rio de Janeiro",25,1,1,0,0,"yes","no",50,700,0
"Rio de Janeiro",170,4,5,0,10,"yes","no",1200,7100,639
"Rio de Janeiro",45,1,1,0,8,"yes","no",900,1570,98
"Belo Horizonte",420,4,4,2,0,"no","no",0,7000,200
"Porto Alegre",46,1,1,0,4,"yes","no",0,1040,48
"Sao Paulo",145,3,3,2,1,"yes","yes",1088,5800,250
"Belo Horizonte",59,2,2,1,2,"yes","no",190,1100,59
"Belo Horizonte",225,4,3,0,8,"yes","no",1850,7500,466
"Sao Paulo",210,4,4,3,3,"yes","no",2270,4675,1110
"Porto Alegre",76,1,1,0,0,"yes","no",209,1249,52
"Sao Paulo",220,3,4,3,2,"no","no",2500,5150,1250
"Sao Paulo",109,3,2,2,7,"yes","no",1746,2500,134
"Belo Horizonte",95,2,1,1,3,"yes","no",646,1000,120
"Sao Paulo",32,1,1,0,0,"no","no",280,1500,50
"Sao Paulo",480,4,6,5,9,"yes","no",6660,15000,3063
"Sao Paulo",53,1,1,1,3,"yes","no",694,4390,200
"Sao Paulo",40,1,1,0,0,"no","no",0,780,17
"Sao Paulo",50,1,1,1,4,"yes","yes",500,3223,100
"Sao Paulo",60,1,1,0,0,"yes","no",0,1300,255
"Porto Alegre",64,2,2,2,7,"no","no",450,1500,50
"Rio de Janeiro",140,3,3,2,4,"yes","yes",2280,12000,535
"Sao Paulo",121,3,3,1,12,"yes","no",800,2040,334
"Campinas",43,1,1,1,4,"yes","yes",498,2100,84
"Sao Paulo",20,1,1,1,3,"no","yes",1700,1360,0
"Campinas",58,2,1,1,3,"yes","no",289,950,11
"Belo Horizonte",570,5,6,7,0,"yes","yes",0,8330,873
"Sao Paulo",88,2,1,1,2,"yes","no",980,2790,0
"Sao Paulo",89,3,2,2,19,"yes","no",900,6000,184
"Sao Paulo",40,1,1,0,0,"yes","no",0,1100,50
"Rio de Janeiro",40,1,1,0,1,"yes","yes",386,1950,91
"Rio de Janeiro",60,1,2,1,3,"yes","no",400,750,80
"Sao Paulo",25,1,1,0,14,"yes","no",257,1650,0
"Porto Alegre",50,2,1,0,13,"yes","no",340,1130,30
"Porto Alegre",90,3,1,0,1,"yes","no",145,1130,55
"Sao Paulo",173,3,3,3,2,"yes","no",3000,2000,825
"Campinas",91,3,2,2,12,"yes","no",700,2250,175
"Sao Paulo",90,3,2,2,6,"no","no",1710,1200,109
"Sao Paulo",530,5,6,4,2,"yes","yes",8300,15000,5000
"Sao Paulo",40,1,1,0,0,"no","no",0,1300,0
"Sao Paulo",296,4,5,3,3,"yes","no",0,15000,0
"Sao Paulo",87,3,2,1,17,"yes","no",850,1400,200
"Sao Paulo",300,3,3,5,0,"yes","no",0,5000,584
"Sao Paulo",136,3,3,3,13,"yes","no",1430,4206,364
"Sao Paulo",52,2,1,0,4,"yes","no",0,1340,0
"Porto Alegre",94,2,2,2,8,"yes","no",600,2900,230
"Rio de Janeiro",300,4,5,3,7,"yes","no",3850,12750,750
"Rio de Janeiro",100,3,3,1,3,"yes","no",850,3229,100
"Sao Paulo",500,4,6,3,0,"yes","no",6466,7300,2536
"Sao Paulo",240,3,4,3,3,"yes","yes",3600,4950,1000
"Belo Horizonte",308,2,3,3,0,"yes","no",0,2000,171
"Sao Paulo",350,4,5,4,15,"yes","yes",2700,4590,1334
"Sao Paulo",75,2,2,0,2,"yes","no",570,1450,0
"Sao Paulo",155,3,2,3,4,"yes","yes",2600,11700,667
"Sao Paulo",260,3,5,4,12,"yes","no",2227,6000,1468
"Sao Paulo",80,2,2,1,0,"no","no",0,1500,184
"Rio de Janeiro",85,3,1,1,6,"yes","no",810,1998,87
"Sao Paulo",120,2,2,2,22,"no","yes",1400,3500,375
"Sao Paulo",100,2,2,1,0,"yes","no",0,1970,0
"Sao Paulo",240,4,5,4,6,"no","no",1869,3500,717
"Sao Paulo",360,7,6,6,0,"yes","no",0,5270,245
"Sao Paulo",42,1,1,0,0,"no","no",0,1100,0
"Sao Paulo",33,1,1,1,14,"yes","yes",600,2800,112
"Rio de Janeiro",48,1,1,0,1,"no","no",626,1020,53
"Rio de Janeiro",36,1,1,0,5,"yes","no",350,1130,42
"Sao Paulo",270,6,3,6,0,"yes","no",0,4500,417
"Campinas",75,2,1,1,2,"yes","no",670,1200,121
"Rio de Janeiro",46,2,1,0,3,"no","no",270,1600,0
"Sao Paulo",350,3,3,3,0,"no","no",0,10000,1292
"Porto Alegre",131,3,3,1,10,"yes","yes",1625,1750,121
"Campinas",90,3,2,1,3,"yes","no",920,1300,129
"Rio de Janeiro",26,1,1,0,4,"no","no",390,1650,120
"Rio de Janeiro",44,1,1,0,3,"yes","yes",400,1100,14
"Sao Paulo",70,2,2,0,0,"yes","no",0,1880,0
"Belo Horizonte",40,1,1,0,0,"no","no",0,900,0
"Belo Horizonte",320,4,2,4,0,"yes","no",0,3200,206
"Sao Paulo",213,2,2,3,0,"yes","no",0,5150,0
"Sao Paulo",80,2,1,0,1,"no","no",0,1100,0
"Campinas",70,1,1,0,6,"yes","no",500,800,30
"Rio de Janeiro",60,2,1,1,5,"yes","no",690,1500,25
"Sao Paulo",270,4,4,4,5,"yes","no",4500,12850,1834
"Rio de Janeiro",70,2,1,1,3,"yes","no",800,1300,44
"Porto Alegre",300,6,2,2,0,"yes","no",0,6000,242
"Sao Paulo",220,4,5,3,14,"yes","yes",2050,12000,750
"Porto Alegre",64,2,2,2,7,"yes","no",450,1600,34
"Rio de Janeiro",80,3,3,1,7,"no","no",1100,1470,0
"Sao Paulo",56,1,1,0,9,"yes","yes",625,2500,81
"Sao Paulo",161,4,3,2,1,"yes","no",1450,10000,467
"Sao Paulo",35,1,1,0,0,"yes","no",350,1350,0
"Sao Paulo",720,4,6,5,0,"yes","yes",0,12750,2613
"Sao Paulo",280,4,5,4,6,"no","no",2500,3200,750
"Porto Alegre",96,3,2,0,2,"yes","no",408,2100,84
"Campinas",236,3,4,4,10,"yes","no",1600,11000,440
"Sao Paulo",81,3,2,1,4,"yes","no",204,1510,0
"Sao Paulo",62,2,1,1,1,"yes","no",580,1650,92
"Belo Horizonte",125,3,2,0,2,"yes","no",150,1200,69
"Sao Paulo",37,1,1,1,6,"yes","yes",890,4150,110
"Sao Paulo",60,2,2,1,11,"yes","no",1680,4000,200
"Sao Paulo",230,4,2,3,1,"yes","no",3600,5000,1551
"Sao Paulo",210,4,5,2,1,"yes","yes",3800,8500,0
"Sao Paulo",450,4,3,8,0,"yes","no",0,14000,175
"Sao Paulo",234,3,5,4,0,"yes","yes",0,3680,400
"Belo Horizonte",135,4,3,2,2,"no","no",868,2450,308
"Sao Paulo",395,4,5,3,0,"yes","no",0,6000,122
"Porto Alegre",92,2,2,1,2,"yes","no",450,1700,67
"Sao Paulo",412,3,5,6,21,"yes","no",2000,3952,459
"Sao Paulo",42,1,1,1,27,"yes","no",560,5300,100
"Sao Paulo",33,1,1,0,12,"no","yes",385,3000,125
"Porto Alegre",28,2,1,1,0,"yes","no",0,600,0
"Sao Paulo",190,4,4,2,0,"no","no",0,4450,223
"Sao Paulo",165,4,3,3,10,"yes","yes",2440,6300,1292
"Porto Alegre",44,1,1,0,5,"yes","no",355,1200,20
"Sao Paulo",60,2,1,1,4,"yes","no",603,1275,109
"Sao Paulo",380,3,3,2,1,"yes","no",3580,11000,1084
"Rio de Janeiro",73,2,1,0,4,"yes","no",375,830,120
"Belo Horizonte",19,1,1,0,5,"yes","no",620,1100,85
"Campinas",230,3,5,4,6,"yes","no",1800,7500,0
"Porto Alegre",37,1,1,1,2,"yes","no",500,2500,0
"Sao Paulo",124,3,2,3,7,"yes","no",1450,6600,300
"Rio de Janeiro",115,3,2,1,8,"yes","yes",1090,2680,114
"Campinas",600,3,3,4,0,"yes","no",0,5500,384
"Rio de Janeiro",700,5,5,4,0,"yes","yes",1380,15000,1667
"Porto Alegre",35,1,1,0,1,"yes","no",100,815,17
"Belo Horizonte",15,1,1,0,3,"no","yes",0,1100,0
"Campinas",80,3,2,1,2,"yes","no",570,1450,125
"Porto Alegre",48,1,1,0,4,"yes","no",200,700,38
"Belo Horizonte",96,3,2,1,2,"yes","no",922,1500,137
"Sao Paulo",150,3,2,1,7,"yes","yes",1843,6715,340
"Belo Horizonte",105,3,2,2,2,"no","no",1681,3300,390
"Belo Horizonte",204,4,4,4,22,"no","yes",2701,10000,760
"Rio de Janeiro",125,3,1,2,11,"yes","no",1317,2600,170
"Rio de Janeiro",50,2,1,0,3,"no","no",490,2300,50
"Sao Paulo",250,3,4,3,0,"no","no",0,3740,234
"Sao Paulo",300,3,4,3,7,"yes","yes",3000,2000,1250
"Sao Paulo",80,2,1,1,0,"yes","no",0,1500,55
"Rio de Janeiro",130,3,4,1,2,"no","no",1200,1400,334
"Sao Paulo",120,2,3,0,2,"yes","no",904,3300,195
"Sao Paulo",540,3,3,4,9,"yes","no",6200,15000,3500
"Sao Paulo",23,1,1,0,23,"yes","no",392,2100,41
"Sao Paulo",15,1,1,0,0,"no","yes",0,2500,0
"Sao Paulo",72,1,2,2,19,"yes","no",900,4000,200
"Rio de Janeiro",95,3,2,2,7,"yes","no",985,2300,122
"Sao Paulo",330,4,5,4,13,"yes","no",2870,10000,1119
"Sao Paulo",75,2,2,2,7,"no","yes",1600,6600,400
"Sao Paulo",53,1,1,1,4,"yes","no",690,4398,200
"Sao Paulo",178,3,2,1,2,"no","no",1200,1900,180
"Sao Paulo",150,3,2,0,0,"yes","no",0,4000,24
"Sao Paulo",50,2,1,1,4,"yes","no",520,1200,30
"Sao Paulo",150,3,2,1,0,"no","no",0,2500,59
"Porto Alegre",25,1,1,0,0,"yes","yes",286,984,11
"Sao Paulo",210,3,4,4,13,"no","no",3150,12000,1155
"Belo Horizonte",75,3,2,1,4,"yes","no",600,1500,75
"Belo Horizonte",200,2,4,3,12,"yes","no",1897,15000,827
"Sao Paulo",350,4,4,0,0,"yes","no",0,8000,989
"Porto Alegre",49,2,1,1,7,"yes","no",360,1150,30
"Porto Alegre",40,1,1,0,4,"no","yes",0,2000,0
"Sao Paulo",45,1,1,1,2,"no","yes",1900,4200,350
"Sao Paulo",46,1,1,1,8,"no","yes",900,7600,118
"Sao Paulo",80,2,2,2,15,"yes","no",2000,11000,0
"Sao Paulo",30,1,1,0,3,"yes","yes",400,2850,0
"Sao Paulo",80,2,2,2,0,"yes","no",50,2200,173
"Rio de Janeiro",105,2,2,1,10,"yes","no",1780,1530,134
"Belo Horizonte",105,3,2,2,7,"yes","no",1170,2000,219
"Sao Paulo",114,3,1,0,0,"yes","no",0,2570,150
"Sao Paulo",200,3,3,4,0,"yes","no",0,7000,425
"Porto Alegre",120,3,3,2,5,"yes","no",800,3000,167
"Sao Paulo",60,2,2,1,11,"yes","no",647,4000,21
"Sao Paulo",90,2,1,1,1,"yes","no",1000,3000,50
"Rio de Janeiro",53,2,1,0,3,"no","no",535,1800,50
"Sao Paulo",80,2,2,5,0,"yes","no",0,3000,59
"Campinas",87,4,2,2,4,"yes","no",784,1600,106
"Rio de Janeiro",110,3,1,1,1,"yes","no",557,5000,188
"Belo Horizonte",113,4,2,1,3,"yes","no",1587,4000,429
"Sao Paulo",170,3,2,2,5,"no","no",2199,5000,423
"Sao Paulo",150,3,2,0,1,"no","no",700,3000,42
"Porto Alegre",60,2,2,1,11,"yes","no",469,1500,51
"Porto Alegre",43,1,1,0,4,"no","yes",290,2100,66
"Sao Paulo",130,3,2,2,4,"yes","yes",800,3500,0
"Sao Paulo",69,3,2,0,7,"yes","yes",650,1900,185
"Campinas",306,3,2,2,0,"yes","no",0,2500,422
"Sao Paulo",187,3,2,3,0,"yes","no",500,3500,193
"Sao Paulo",385,3,4,3,0,"yes","no",0,9000,1500
"Sao Paulo",355,4,4,3,0,"yes","no",0,7300,660
"Porto Alegre",90,2,1,1,2,"yes","no",405,1100,380
"Sao Paulo",190,3,4,4,0,"yes","no",0,5000,275
"Campinas",181,2,1,2,0,"yes","no",0,1400,132
"Sao Paulo",350,3,5,4,13,"yes","no",4000,3490,1750
"Belo Horizonte",168,5,3,2,2,"yes","no",1443,2900,408
"Rio de Janeiro",73,2,1,0,1,"yes","no",1600,2800,204
"Sao Paulo",378,5,5,4,4,"yes","no",4000,3000,2000
"Campinas",60,2,1,1,0,"yes","no",0,1300,180
"Belo Horizonte",362,4,5,0,19,"no","no",4138,15000,1975
"Sao Paulo",90,3,2,0,0,"yes","no",0,1700,136
"Rio de Janeiro",42,1,1,0,4,"no","yes",500,1973,79
"Rio de Janeiro",56,2,1,1,18,"yes","no",568,1000,88
"Sao Paulo",16,1,1,0,1,"no","no",0,850,30
"Sao Paulo",90,2,2,2,15,"no","yes",1400,10000,0
"Belo Horizonte",67,1,1,0,13,"yes","no",375,850,55
"Sao Paulo",488,4,3,3,0,"yes","no",14130,6400,1214
"Rio de Janeiro",30,1,1,0,10,"yes","no",850,1100,60
"Sao Paulo",290,6,3,4,0,"yes","no",0,8000,1525
"Sao Paulo",266,3,3,4,10,"yes","no",4700,6400,1500
"Campinas",47,2,1,1,4,"yes","no",260,900,25
"Rio de Janeiro",590,6,6,2,0,"yes","yes",750,8000,975
"Sao Paulo",900,4,9,8,1,"yes","no",0,15000,5700
"Sao Paulo",86,2,1,1,0,"yes","no",0,2200,110
"Sao Paulo",290,3,3,2,0,"yes","yes",0,15000,1000
"Porto Alegre",84,3,2,2,4,"yes","no",750,3300,100
"Sao Paulo",160,3,1,2,0,"yes","no",0,5000,225
"Sao Paulo",37,1,1,0,3,"no","yes",470,3500,127
"Campinas",73,3,1,1,4,"yes","no",308,850,46
"Sao Paulo",350,4,5,5,17,"yes","yes",2400,15000,2400
"Rio de Janeiro",57,1,1,0,2,"yes","no",200,1100,10
